"2024-08-21 11:27:54,327",0.17580000000003793,0.013099999999951706
"2024-08-21 11:40:45,968",0.1319000000000301,-0.029100000000028103
"2024-08-21 11:42:21,088",-0.044,-0.013
"2024-08-21 12:00:11,457",0.176,0.041
"2024-08-21 12:02:50,132",0.044,0.024
"2024-08-21 12:33:35,591",0.176,0.036
"2024-08-21 13:04:22,252",0.264,0.048
"2024-08-21 13:35:09,642",0.396,0.015
"2024-08-21 14:05:56,970",0.264,0.028
"2024-08-21 14:36:44,145",0.352,-0.005
"2024-08-21 15:07:31,218",0.308,0.007
"2024-08-21 15:38:20,553",0.308,0.019
"2024-08-21 16:09:08,554",0.308,0.031
"2024-08-21 16:39:55,440",0.264,0.043
"2024-08-21 17:10:43,622",0.308,0.010
"2024-08-21 17:41:31,430",0.308,0.022
"2024-08-21 18:12:19,495",0.264,0.034
"2024-08-21 18:43:06,391",0.264,0.045
"2024-08-21 19:13:54,476",0.308,0.013
"2024-08-21 19:44:47,350",0.264,0.025
"2024-08-21 20:15:34,517",0.264,0.036
"2024-08-21 20:46:22,609",0.264,0.048
"2024-08-21 21:17:09,845",0.308,0.015
"2024-08-21 21:47:57,188",0.308,0.026
"2024-08-21 22:18:44,327",0.264,0.037
"2024-08-21 22:49:31,650",0.264,0.048
"2024-08-21 23:20:18,946",0.308,0.015
"2024-08-21 23:51:06,078",0.264,0.026
"2024-08-22 00:21:53,830",0.308,0.037
"2024-08-22 00:52:40,295",0.308,0.048
"2024-08-22 01:23:27,551",0.352,0.015
"2024-08-22 01:54:14,619",0.264,0.025
"2024-08-22 02:25:02,033",0.264,0.036
"2024-08-22 02:55:49,023",0.264,0.046
"2024-08-22 03:26:36,482",0.352,-0.031
"2024-08-22 03:57:23,962",0.264,0.023
"2024-08-22 04:28:10,687",0.264,0.034
"2024-08-22 04:58:57,521",0.308,0.044
"2024-08-22 05:29:46,919",0.308,0.011
"2024-08-22 06:00:32,720",0.264,0.020
"2024-08-22 06:31:19,692",0.308,0.030
"2024-08-22 07:02:06,433",0.264,0.040
"2024-08-22 07:32:53,366",0.264,0.050
"2024-08-22 08:03:40,319",0.308,0.016
"2024-08-22 08:34:26,901",0.264,0.025
"2024-08-22 09:05:14,980",0.264,0.035
"2024-08-22 09:36:02,253",0.308,0.045
"2024-08-22 10:06:49,619",0.352,0.010
"2024-08-22 10:37:36,910",0.308,0.020
"2024-08-22 11:08:24,062",0.308,0.029
"2024-08-22 11:39:12,060",0.264,0.038
"2024-08-22 12:09:59,231",0.264,0.047
"2024-08-22 12:40:47,268",0.308,0.013
"2024-08-22 13:11:34,245",0.308,0.022
"2024-08-22 13:42:22,026",0.264,0.031
"2024-08-22 14:13:09,424",0.264,0.039
"2024-08-22 14:43:56,852",0.308,0.048
"2024-08-22 15:14:45,256",0.308,0.013
"2024-08-22 15:45:32,594",0.308,0.022
"2024-08-22 16:16:20,522",0.264,0.030
"2024-08-22 16:47:07,606",0.264,0.038
"2024-08-22 17:17:56,214",0.264,0.047
"2024-08-22 17:48:44,004",0.308,0.011
"2024-08-22 18:19:31,660",0.264,0.019
"2024-08-22 18:50:19,088",0.264,0.027
"2024-08-22 19:21:09,125",0.264,0.035
"2024-08-22 19:51:59,065",0.264,0.044
"2024-08-22 20:22:46,801",0.352,0.007
"2024-08-22 20:53:34,782",0.264,0.015
"2024-08-22 21:24:22,332",0.264,0.023
"2024-08-22 21:55:09,512",0.264,0.030
"2024-08-22 22:25:56,761",0.308,0.037
"2024-08-22 22:56:44,618",0.308,0.044
"2024-08-22 23:27:36,704",0.352,0.008
"2024-08-22 23:58:25,071",0.264,0.015
"2024-08-23 00:29:14,181",0.308,0.022
"2024-08-23 01:00:00,462",0.308,0.029
"2024-08-23 01:30:46,876",0.264,0.035
"2024-08-23 02:01:33,612",0.264,0.042
"2024-08-23 02:32:20,908",0.308,0.004
"2024-08-23 03:03:07,459",0.308,0.010
"2024-08-23 03:33:54,987",0.308,0.016
"2024-08-23 04:04:41,921",0.308,0.022
"2024-08-23 04:35:31,295",0.308,0.029
"2024-08-23 05:06:17,490",0.264,0.034
"2024-08-23 05:37:03,761",0.308,0.040
"2024-08-23 06:07:49,061",0.264,0.045
"2024-08-23 06:38:35,796",0.308,0.006
"2024-08-23 07:09:22,141",0.264,0.012
"2024-08-23 07:40:08,747",0.308,0.017
"2024-08-23 08:10:55,359",0.308,0.022
"2024-08-23 08:41:41,620",0.264,0.027
